Word,Furigana,Definition,Japanese sentence,English translation
立てる,たてる,"stand, set up, establish",彼はケーキにろうそくを立てた。,He stuck the candles into the cake.
確認,かくにん,confirmation,もう一度、予約を確認した。,I confirmed my reservation one more time.
開ける,あける,"open, unlock",窓を開けてください。,Please open the window.
消える,きえる,"be extinguished, disappear",突然、電気が消えた。,Suddenly the electricity went out.
連れる,つれる,"take along, bring along",親が君を一度連れて来いって言うんだ。,My parents said I should take you to their place one time.
伝える,つたえる,"convey, transmit, hand down",みんなにこのことを伝えてください。,Please tell everyone about this matter.
思い,おもい,"thoughts, feelings",必死の思いで彼に頼んだよ。,I asked him out of desperation.
ほとんど,ほとんど,"almost, hardly",お金がほとんどありません。,There's hardly any money.
現れる,あらわれる,"appear, emerge",雲の間から太陽が現れました。,The sun appeared between the clouds.
多分,たぶん,"probably, perhaps",彼女は多分家で寝ています。,She's probably sleeping at home.
息,いき,breath,大きく息を吸ってください。,Please take a deep breath.
指,ゆび,"finger, toe",彼は指が太い。,His fingers are fat.
おかしい,おかしい,"strange, peculiar, suspicious",彼の様子がおかしい。,He's acting strange.
料理,りょうり,"cooking, handling",母は料理が得意です。,My mother is good at cooking.
変える,かえる,change,旅行の日程を変えました。,I changed our travel schedule.
許す,ゆるす,"permit, license, forgive",私は彼を許しました。,I forgave him.
合わせる,あわせる,"adjust, match",日時はご都合に合わせます。,The date can be decided according to your schedule.
耳,みみ,"ear, hearing",彼女は耳がよく聞こえません。,Her hearing isn't very good.
奇麗,きれい,beautiful,彼女はとても奇麗だ。,She's very beautiful.
七,なな,seven,バナナが七本あります。,There are seven bananas.
近付く,ちかづく,"approach, get acquainted",女性が近付いてきました。,A woman approached me.
完全,かんぜん,"perfect, complete",この古い寺院は今でも完全な形を保っているんだ。,This old Buddhist temple still maintains its complete form.
非常口,ひじょうぐち,emergency exit,ビルの非常口を確認したの。,I checked the building's fire exit.
座る,すわる,"sit, sit down",私は窓側の席に座った。,I sat in a window seat.
明日,あす,tomorrow,明日のプレゼンテーションが心配だ。,I'm worried about tomorrow's presentation.
反応,はんのう,"reaction, response",彼女は良い反応を示したわ。,She reacted well.
戦う,たたかう,"wage war, fight",彼は最後まで戦ったよ。,He fought to the very end.
笑顔,えがお,"smiling face, smile",赤ちゃんの笑顔が可愛いい。,The baby's smile is cute.
夢,ゆめ,dream,昨夜恐ろしい夢を見た。,I had a terrible dream last night.
先輩,せんぱい,"senior, superior",日本人は先輩、後輩の関係をとても大切に考えます。,Japanese people value the relationship between seniors and juniors.
分,ぶん,"amount, part, share",このケーキはあなたの分です。,This is your share of the cake.
実際,じっさい,"truth, actual state",彼は実際にはあまり背が高くない。,"Actually, he's not very tall."
色,いろ,color,すてきな色のセーターですね。,That sweater is a wonderful color.
難しい,むずかしい,difficult,この本は難しいですね。,This book is difficult.
残らず,のこらず,"entirely, without exception",ゴミを残らず拾ったよ。,I picked up all the garbage.
選ぶ,えらぶ,"choose, elect",良い家を選ぶのは難しい。,It's difficult to choose a good house.
求める,もとめる,"seek, wish for",子供は親の愛を求めます。,Children need their parents' love.
八,はち,eight,りんごを八個ください。,Please give me eight apples.
他,ほか,other,他に方法がありません。,There's no other way.
準備,じゅんび,"provide for, prepare for",明日の会議の準備をした。,I prepared for tomorrow's meeting.
道,みち,"road, street",この道を真っ直ぐ行くと駅です。,Go straight along this road to get to the station.
娘,むすめ,"daughter, girl",私の娘はアメリカにいます。,My daughter is in the United States.
一体,いったい,"what on earth, what the…",一体何事ですか。,What on earth is going on?
後ろ,うしろ,"back, behind",後ろを向いて。,Turn around.
嘘,うそ,lie,嘘をついてはいけません。,You mustn't lie.
なるほど,なるほど,"I see, really",なるほど、よく分かりました。,"I see, I understand quite well."
再び,ふたたび,"again, a second time",彼は再びここに戻ってきた。,He came back here once again.
部分,ぶぶん,"part, section",この部分は問題ないです。,There's no problem with this part.
返す,かえす,"return, repay",図書館に本を返した。,I returned the book to the library.
帰す,かえす,"send home, see out",学校は生徒たちを午前中に帰したね。,The school dismissed students in the morning.
しっかり,しっかり,"mature, reliable",彼は若いのにしっかりしてるね。,He is reliable even though he is young.
行動,こうどう,"action, conduct",彼の行動は理解できない。,I can't understand his conduct.
触れる,ふれる,"touch, come in contact with",手と手が触れてどきどきしたよ。,My heart pounded as our hands touched.
昨日,きのう,yesterday,昨日、友達に会った。,I met a friend yesterday.
取り敢えず,とりあえず,"for now, first of all",取り敢えずお知らせしておきます。,"Here's my report, for now."
痛い,いたい,painful,今日は頭が痛いです。,I have a headache today.
変,へん,"strange, weird, funny",変な音が聞こえます。,I hear a strange sound.
木,き,"tree, wood",台風で木が倒れた。,The tree fell because of the typhoon.
全部,ぜんぶ,"all, wholly",それ、全部ください。,"I'd like all of those, please."
敵,てき,"enemy, foe",あそこに敵がひそんでいる。,The enemy is lurking there.
隠す,かくす,"hide, conceal",僕に隠していることは無いですか。,"You aren't hiding anything from me, are you?"
服,ふく,clothes,昨日、新しい服を買った。,I bought some new clothes yesterday.
ひどい,ひどい,"cruel, severe",妹とひどい喧嘩をした。,I had an awful fight with my little sister.
失う,うしなう,"lose, miss",彼は地震で親を失いました。,He lost his parents due to the earthquake.
